manufacturer,phonename,releasedate,os,batsize,battype,scrsize,scrtype,nettech,chipset,cpu,gpu,internal,maincammodule,maincamvid,selfcammodule,selfcamvid,price
Meizu,Meizu Note 22 Pro,"2025, May 20",Flyme AIOS 2,6200,80W,1224x2720,"OLED, 1B colors, 144Hz, 700 nits (typ), 1600 nits (peak), 4500 nits (peak)",GSM / HSPA / LTE / 5G,Qualcomm SM7635 Snapdragon 7s Gen 3 (4 nm),Octa-core (1x2.5 GHz Cortex-A720 & 3x2.4 GHz Cortex-A720 & 4x1.8 GHz Cortex-A520),Adreno 810,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM","50 MP, f/1.8, 26mm (wide), PDAF
8 MP, f/2.2, 15mm (ultrawide)
2 MP, f/2.4","Yes, gyro-EIS","8 MP, f/2.1",Yes,300 EUR
Meizu,Meizu Note 22,"2025, May 20",Flyme AIOS 2,6600,40W,1080x2460,"IPS LCD, 120Hz, 1050 nits (HBM), 5000 nits (peak)",GSM / HSPA / LTE / 5G,Unisoc T8200 (6 nm),Octa-core (2x2.3 GHz Cortex-A76 & 6x2.1 GHz Cortex-A55),Mali-G57 MC2,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.8, 26mm (wide), PDAF
2 MP, f/2.4, (depth)",Yes,"8 MP, f/2.0",Yes,210 EUR
Meizu,Meizu Mblu 22 Pro,"2025, May 20",Android 15,5000,18W,720x1640,"TFT LCD, 120Hz, 400 nits (HBM)",GSM / HSPA / LTE,Mediatek Helio G81 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,"128GB 4GB RAM, 256GB 6GB RAM, 256GB 8GB RAM","50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (macro)",Yes,"8 MP, f/2.0",Yes,120 EUR
Meizu,Meizu Mblu 22,"2025, May 20",Android 15,5000,10W,720x1640,"IPS LCD, 90Hz",GSM / HSPA / LTE,Unisoc SC9863A (28 nm),Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,"64GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM","13 MP, f/1.8, 26mm (wide), AF
auxiliary lens",Yes,"5 MP, f/2.2",Yes,80 EUR
Meizu,Meizu Note 22 4G,"2025, May 20","Android 15, Flyme OS",5000,40W,1080x2436,"AMOLED, 120Hz, 550 nits (typ), 1200 nits (HBM), 1800 nits (peak)",GSM / HSPA / LTE,Mediatek Helio G99 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,"128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM, 1TB 8GB RAM","108 MP, f/1.7, (wide), PDAF
8 MP, f/2.2, (ultrawide)
2 MP, f/2.4, (macro)",Yes,"32 MP, f/2.0",Yes,180 EUR
Meizu,Meizu Note 16,"2025, May 16",Flyme AIOS 2,6600,40W,1080x2460,"IPS LCD, 120Hz, 1050 nits (peak)",GSM / HSPA / LTE / 5G,Unisoc T8200 (6 nm),Octa-core (2x2.3 GHz Cortex-A76 & 6x2.1 GHz Cortex-A55),Mali-G57 MC2,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.8, 26mm (wide), PDAF
2 MP, f/2.4",Yes,"8 MP, f/2.0",Yes,100 EUR
Meizu,Meizu Note 16 Pro,"2025, May 16",Flyme AIOS 2,6200,80W,1224x2720,"OLED, 1B colors, 144Hz, 700 nits (typ), 1600 nits (peak), 4500 nits (peak)",GSM / HSPA / LTE / 5G,Qualcomm SM7635 Snapdragon 7s Gen 3 (4 nm),Octa-core (1x2.5 GHz Cortex-A720 & 3x2.4 GHz Cortex-A720 & 4x1.8 GHz Cortex-A520),Adreno 810,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM","50 MP, f/1.8, 26mm (wide), PDAF
8 MP, f/2.2, 15mm (ultrawide)
2 MP, f/2.4",Yes,"8 MP, f/2.1",Yes,190 EUR
Meizu,Meizu mblu 21,"2024, November",Android 14,4900,,720x1640,"IPS LCD, 90Hz",GSM / HSPA / LTE,Unisoc T606 (12 nm),Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,64GB 4GB RAM,"13 MP, AF
auxiliary lens",Yes,8 MP,Yes,Na
Meizu,Meizu Lucky 08,"2024, September 20",Flyme AIOS,6000,45W,1264x2780,"LTPO AMOLED, 1B colors, 144Hz, HDR, 800 nits (typ), 5000 nits (peak)",GSM / HSPA / LTE / 5G,Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm),Octa-core (4x2.40 GHz Cortex-A78 & 4x1.95 GHz Cortex-A55),Adreno 710,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","108 MP, f/1.7, 24mm (wide), 1/1.67"", 0.64µm, PDAF
2 MP, f/2.4, (macro)",Yes,"8 MP, f/2.0",Yes,210 EUR
Meizu,Meizu Note 21 Pro,"2024, October",Flyme OS,5000,30W,1080x2400,"IPS LCD, 120Hz, 550 nits",GSM / HSPA / LTE,Mediatek Helio G99 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,256GB 8GB RAM,"64 MP, AF
2 MP",Yes,13 MP,Yes,Na
